Date,Marketcap(USD),Price(USD)
01-08-2016,9860620000,606.27
02-08-2016,9574320000,547.47
03-08-2016,8663670000,566.36
04-08-2016,8943870000,578.29
05-08-2016,9133690000,575.04
06-08-2016,9083510000,587.78
07-08-2016,9285940000,592.69
08-08-2016,9365440000,591.05
09-08-2016,9339660000,587.8
10-08-2016,9286960000,592.1
11-08-2016,9358770000,589.12
12-08-2016,9307250000,587.56
13-08-2016,9285530000,585.59
14-08-2016,9258730000,570.47
15-08-2016,9021180000,567.24
16-08-2016,8970770000,577.44
17-08-2016,9138030000,573.22
18-08-2016,9074760000,574.32
19-08-2016,9085820000,575.63
20-08-2016,9114500000,581.7
21-08-2016,9208210000,581.31
22-08-2016,9199410000,586.75
23-08-2016,9286930000,583.41
24-08-2016,9234800000,580.18
25-08-2016,9184700000,577.76
26-08-2016,9147170000,579.65
27-08-2016,9174990000,569.95
28-08-2016,9023610000,573.91
29-08-2016,9091830000,574.11
30-08-2016,9093530000,577.5
31-08-2016,9149730000,575.47
01-09-2016,9118280000,572.3
02-09-2016,9069550000,575.54
03-09-2016,9120440000,598.21
04-09-2016,9486370000,608.63
05-09-2016,9652490000,606.59
06-09-2016,9614140000,610.44
07-09-2016,9679610000,614.54
08-09-2016,9745120000,626.32
09-09-2016,9931980000,622.86
10-09-2016,9878730000,623.51
11-09-2016,9887780000,606.72
12-09-2016,9628560000,608.24
13-09-2016,9645930000,609.24
14-09-2016,9660080000,610.68
15-09-2016,9688940000,607.15
16-09-2016,9637020000,606.97
17-09-2016,9637600000,605.98
18-09-2016,9623950000,609.87
19-09-2016,9681960000,609.23
20-09-2016,9673140000,608.31
21-09-2016,9584260000,597.15
22-09-2016,9485280000,596.3
23-09-2016,9469130000,602.84
24-09-2016,9577520000,602.63
25-09-2016,9575360000,600.83
26-09-2016,9545830000,608.04
27-09-2016,9661590000,606.17
28-09-2016,9634530000,604.73
29-09-2016,9616160000,605.69
30-09-2016,9628250000,609.74
01-10-2016,9696280000,613.98
02-10-2016,9761330000,610.89
03-10-2016,9714980000,612.13
04-10-2016,9733330000,610.2
05-10-2016,9705320000,612.51
06-10-2016,9742370000,613.02
07-10-2016,9745740000,617.12
08-10-2016,9822100000,619.11
09-10-2016,9852480000,616.75
10-10-2016,9816270000,618.99
11-10-2016,9855650000,641.07
12-10-2016,10201000000,636.19
13-10-2016,10125100000,636.79
14-10-2016,10141600000,640.38
15-10-2016,10195200000,638.65
16-10-2016,10176800000,641.63
17-10-2016,10221300000,639.19
18-10-2016,10184000000,637.96
19-10-2016,10164800000,630.52
20-10-2016,10046700000,630.86
21-10-2016,10050300000,632.83
22-10-2016,10088400000,657.29
23-10-2016,10479700000,657.07
24-10-2016,10473500000,653.76
25-10-2016,10424300000,657.59
26-10-2016,10484000000,678.3
27-10-2016,10812500000,688.31
28-10-2016,10969800000,689.65
29-10-2016,11007600000,714.48
30-10-2016,11388800000,701.86
31-10-2016,11207200000,700.97
01-11-2016,11187700000,729.79
02-11-2016,11647200000,740.83
03-11-2016,11844300000,688.7
04-11-2016,10996400000,703.24
05-11-2016,11227200000,703.42
06-11-2016,11233000000,711.52
07-11-2016,11344800000,703.13
08-11-2016,11224000000,709.85
09-11-2016,11333000000,723.27
10-11-2016,11542100000,715.53
11-11-2016,11427200000,716.41
12-11-2016,11447700000,705.05
13-11-2016,11264500000,702.03
14-11-2016,11214600000,705.02
15-11-2016,11283400000,711.62
16-11-2016,11370700000,744.2
17-11-2016,11911300000,740.98
18-11-2016,11846000000,751.59
19-11-2016,12025400000,751.62
20-11-2016,12027500000,731.03
21-11-2016,11698900000,739.25
22-11-2016,11834200000,751.35
23-11-2016,12029000000,744.59
24-11-2016,11916500000,740.29
25-11-2016,11851100000,741.65
26-11-2016,11869600000,735.38
27-11-2016,11773800000,732.03
28-11-2016,11727800000,735.81
29-11-2016,11790900000,735.6
30-11-2016,11791600000,745.69
01-12-2016,11949200000,756.77
02-12-2016,12134800000,777.94
03-12-2016,12467800000,771.15
04-12-2016,12363600000,773.87
05-12-2016,12393100000,758.7
06-12-2016,12159400000,764.22
07-12-2016,12248900000,768.13
08-12-2016,12312500000,770.81
09-12-2016,12344000000,772.79
10-12-2016,12394500000,774.65
11-12-2016,12423600000,769.73
12-12-2016,12349800000,780.09
13-12-2016,12521500000,780.56
14-12-2016,12512900000,781.48
15-12-2016,12511700000,778.09
16-12-2016,12498800000,784.91
17-12-2016,12599600000,790.83
18-12-2016,12694800000,790.53
19-12-2016,12691100000,792.71
20-12-2016,12717600000,800.88
21-12-2016,12853700000,834.28
22-12-2016,13393800000,864.54
23-12-2016,13888600000,921.98
24-12-2016,14810300000,898.82
25-12-2016,14450100000,896.18
26-12-2016,14407800000,907.61
27-12-2016,14593300000,933.2
28-12-2016,15020500000,975.92
29-12-2016,15670000000,973.5
30-12-2016,15630200000,961.24
31-12-2016,15440700000,963.74
01-01-2017,15491200000,998.33
02-01-2017,16055100000,1021.75
03-01-2017,16426600000,1043.84
04-01-2017,16795400000,1154.73
05-01-2017,18604000000,1013.38
06-01-2017,16314100000,902.2
07-01-2017,14534400000,908.59
08-01-2017,14611400000,911.2
09-01-2017,14694900000,902.83
10-01-2017,14522600000,907.68
11-01-2017,14615700000,777.76
12-01-2017,12477600000,804.83
13-01-2017,12939100000,823.98
14-01-2017,13285200000,818.41
15-01-2017,13174300000,821.8
16-01-2017,13234600000,831.53
17-01-2017,13383900000,907.94
18-01-2017,14648900000,886.62
19-01-2017,14311700000,899.07
20-01-2017,14472100000,895.03
21-01-2017,14432000000,921.79
22-01-2017,14863600000,924.67
23-01-2017,14918800000,921.01
24-01-2017,14681400000,892.69
25-01-2017,14380700000,901.54
26-01-2017,14551200000,917.59
27-01-2017,14810400000,919.75
28-01-2017,14835800000,921.59
29-01-2017,14874000000,919.5
30-01-2017,14844900000,920.38
31-01-2017,14859700000,970.4
01-02-2017,15667900000,989.02
02-02-2017,15977800000,1011.8
03-02-2017,16326100000,1029.91
04-02-2017,16648800000,1042.9
05-02-2017,16847400000,1027.34
06-02-2017,16605400000,1038.15
07-02-2017,16796600000,1061.35
08-02-2017,17156700000,1063.07
09-02-2017,17197100000,994.38
10-02-2017,16083600000,988.67
11-02-2017,15976700000,1004.45
12-02-2017,16214700000,999.18
13-02-2017,16141500000,990.64
14-02-2017,16028000000,1004.55
15-02-2017,16264100000,1007.48
16-02-2017,16289100000,1027.44
17-02-2017,16589600000,1046.21
18-02-2017,16964800000,1054.42
19-02-2017,17056600000,1047.87
20-02-2017,16960200000,1079.98
21-02-2017,17456900000,1115.3
22-02-2017,18033400000,1117.44
23-02-2017,18075200000,1166.72
24-02-2017,18974400000,1173.68
25-02-2017,18939500000,1143.84
26-02-2017,18518900000,1165.2
27-02-2017,18837300000,1179.97
28-02-2017,19113600000,1179.97
01-03-2017,19104800000,1222.5
02-03-2017,19829800000,1251.01
03-03-2017,20253700000,1274.99
04-03-2017,20688800000,1255.15
05-03-2017,20316000000,1267.12
06-03-2017,20531900000,1272.83
07-03-2017,20627100000,1223.54
08-03-2017,19819800000,1150
09-03-2017,18640900000,1188.49
10-03-2017,19275300000,1116.72
11-03-2017,18093700000,1175.83
12-03-2017,19073300000,1221.38
13-03-2017,19807700000,1231.92
14-03-2017,19978200000,1240
15-03-2017,20110400000,1249.61
16-03-2017,20293700000,1187.81
17-03-2017,19141800000,1100.23
18-03-2017,17838700000,973.82
19-03-2017,15846000000,1036.74
20-03-2017,16829800000,1054.23
21-03-2017,17125600000,1120.54
22-03-2017,18187100000,1049.14
23-03-2017,17043400000,1038.59
24-03-2017,16857000000,937.52
25-03-2017,15204800000,972.78
26-03-2017,15814800000,966.73
27-03-2017,15785000000,1045.77
28-03-2017,16964500000,1047.15
29-03-2017,16990900000,1039.97
30-03-2017,16929800000,1026.43
31-03-2017,16679000000,1071.79
01-04-2017,17413000000,1080.5
02-04-2017,17559400000,1102.17
03-04-2017,17924600000,1143.81
04-04-2017,18619000000,1133.25
05-04-2017,18435700000,1124.78
06-04-2017,18302600000,1182.68
07-04-2017,19168500000,1176.9
08-04-2017,19068600000,1175.95
09-04-2017,19134400000,1187.87
10-04-2017,19311200000,1187.13
11-04-2017,19316000000,1205.01
12-04-2017,19600800000,1200.37
13-04-2017,19541300000,1169.28
14-04-2017,19043800000,1167.54
15-04-2017,18996500000,1172.52
16-04-2017,19085100000,1182.94
17-04-2017,19260500000,1193.91
18-04-2017,19433800000,1211.67
19-04-2017,19734800000,1210.29
20-04-2017,19719900000,1229.08
21-04-2017,20020700000,1222.05
22-04-2017,19913900000,1231.71
23-04-2017,20066200000,1207.21
24-04-2017,19705400000,1250.15
25-04-2017,20372300000,1265.49
26-04-2017,20627900000,1281.08
27-04-2017,20889200000,1317.73
28-04-2017,21476000000,1316.48
29-04-2017,21479800000,1321.79
30-04-2017,21548400000,1347.89
01-05-2017,21981800000,1421.6
02-05-2017,23170200000,1452.82
03-05-2017,23707100000,1490.09
04-05-2017,24311900000,1537.67
05-05-2017,25133100000,1555.45
06-05-2017,25395600000,1578.8
07-05-2017,25768500000,1596.71
08-05-2017,26056500000,1723.35
09-05-2017,28132200000,1755.36
10-05-2017,28668100000,1787.13
11-05-2017,29060600000,1848.57
12-05-2017,30131100000,1724.24
13-05-2017,28132300000,1804.91
14-05-2017,29405100000,1808.91
15-05-2017,29532600000,1738.43
16-05-2017,28446300000,1734.45
17-05-2017,28204800000,1839.09
18-05-2017,29710500000,1888.65
19-05-2017,30999000000,1987.71
20-05-2017,32422400000,2084.73
21-05-2017,33779400000,2041.2
22-05-2017,33393600000,2173.4
23-05-2017,35822600000,2320.42
24-05-2017,37949200000,2443.64
25-05-2017,39995400000,2304.98
26-05-2017,37950600000,2202.42
27-05-2017,35917100000,2038.87
28-05-2017,33595900000,2155.8
29-05-2017,35323500000,2255.61
30-05-2017,36897000000,2175.47
31-05-2017,35786700000,2286.41
01-06-2017,37446200000,2407.88
02-06-2017,39344600000,2488.55
03-06-2017,40817100000,2515.35
04-06-2017,41708200000,2511.81
05-06-2017,41133900000,2686.81
06-06-2017,44061000000,2863.2
07-06-2017,46989800000,2732.16
08-06-2017,44557100000,2805.62
09-06-2017,45987100000,2823.81
10-06-2017,46331400000,2947.71
11-06-2017,48208700000,2958.11
12-06-2017,48391200000,2659.63
13-06-2017,43934100000,2717.02
14-06-2017,44528300000,2506.37
15-06-2017,40971300000,2464.58
16-06-2017,40484100000,2518.56
17-06-2017,41217200000,2655.88
18-06-2017,43539300000,2548.29
19-06-2017,41800600000,2589.6
20-06-2017,42498000000,2721.79
21-06-2017,44440800000,2689.1
22-06-2017,44143700000,2705.41
23-06-2017,44415900000,2744.91
24-06-2017,44932900000,2608.72
25-06-2017,42783800000,2589.41
26-06-2017,42514000000,2478.45
27-06-2017,40677900000,2552.45
28-06-2017,41906700000,2574.79
29-06-2017,42150300000,2539.32
30-06-2017,41689100000,2480.84
01-07-2017,40928200000,2434.55
02-07-2017,40010500000,2506.47
03-07-2017,41037200000,2564.06
04-07-2017,42067900000,2601.64
05-07-2017,42760800000,2601.99
06-07-2017,42851400000,2608.56
07-07-2017,42864200000,2518.66
08-07-2017,41417700000,2571.34
09-07-2017,42283200000,2518.44
10-07-2017,41509000000,2372.56
11-07-2017,39224200000,2337.79
12-07-2017,38355900000,2398.84
13-07-2017,39511000000,2357.9
14-07-2017,38823100000,2233.34
15-07-2017,36681300000,1998.86
16-07-2017,32767600000,1929.82
17-07-2017,31795000000,2228.41
18-07-2017,36749400000,2318.88
19-07-2017,38227800000,2273.43
20-07-2017,37356800000,2817.6
21-07-2017,46719000000,2667.76
22-07-2017,43929600000,2810.12
23-07-2017,46231100000,2730.4
24-07-2017,44995600000,2754.86
25-07-2017,45410100000,2576.48
