Date,Marketcap(USD),Price(USD)
01-08-2016,62649200,9.9
02-08-2016,66476200,9.16
03-08-2016,61646200,9.33
04-08-2016,61830600,9.53
05-08-2016,63292400,9.72
06-08-2016,64524400,10.55
07-08-2016,70393200,10.35
08-08-2016,68797400,10.38
09-08-2016,68887400,10.3
10-08-2016,68670400,10.44
11-08-2016,69495500,11.08
12-08-2016,73849400,12.59
13-08-2016,83697900,12.91
14-08-2016,85451600,14.48
15-08-2016,96808800,13.3
16-08-2016,88224700,12.87
17-08-2016,86139000,12.55
18-08-2016,83107600,13.86
19-08-2016,92310700,13.78
20-08-2016,91807800,13.1
21-08-2016,87463500,13.41
22-08-2016,89571100,14.21
23-08-2016,95908200,13.42
24-08-2016,90187900,13.28
25-08-2016,89033500,12.31
26-08-2016,82202600,12.74
27-08-2016,85354600,12.57
28-08-2016,84279100,12.42
29-08-2016,82747200,11.68
30-08-2016,78030000,11.77
31-08-2016,78856900,11.89
01-09-2016,79693100,11.45
02-09-2016,76804400,11.36
03-09-2016,76249000,11.45
04-09-2016,76192100,11.39
05-09-2016,76235500,11.27
06-09-2016,75719300,10.92
07-09-2016,73555700,11.28
08-09-2016,75879400,11.69
09-09-2016,78568100,11.22
10-09-2016,75337800,11.42
11-09-2016,76892700,11.14
12-09-2016,75150600,12.26
13-09-2016,82919500,13
14-09-2016,87620200,12.71
15-09-2016,85882800,12.21
16-09-2016,82343700,11.72
17-09-2016,79017600,11.78
18-09-2016,79397100,11.64
19-09-2016,78808400,11.54
20-09-2016,77743400,11.41
21-09-2016,77453300,11.53
22-09-2016,77970700,11.54
23-09-2016,77854100,11.54
24-09-2016,78052900,11.53
25-09-2016,77913600,11.55
26-09-2016,78189900,11.41
27-09-2016,77160600,11.64
28-09-2016,78749100,11.59
29-09-2016,78432900,12.01
30-09-2016,81564000,12.1
01-10-2016,81946600,11.71
02-10-2016,79364000,11.78
03-10-2016,79945400,11.89
04-10-2016,80553000,12.06
05-10-2016,81727600,12.03
06-10-2016,81854800,12.06
07-10-2016,81894000,11.87
08-10-2016,80713900,11.72
09-10-2016,79726300,11.59
10-10-2016,78807400,11.69
11-10-2016,79511500,11.73
12-10-2016,79911200,11.43
13-10-2016,77803800,11.44
