Date,Marketcap(USD),Price(USD)
01-08-2016,4138170,1.7
02-08-2016,3876720,1.49
03-08-2016,3446580,1.56
04-08-2016,3580510,1.61
05-08-2016,3721670,1.62
06-08-2016,3731830,1.64
07-08-2016,3776420,1.55
08-08-2016,3605800,1.55
09-08-2016,3618400,1.6
10-08-2016,3765900,1.57
11-08-2016,3695280,1.66
12-08-2016,3935530,1.72
13-08-2016,4151100,1.77
14-08-2016,4214410,1.64
15-08-2016,3929290,1.59
16-08-2016,3808210,1.6
17-08-2016,3851850,1.61
18-08-2016,3877850,1.61
19-08-2016,3866760,1.6
20-08-2016,3874980,1.56
21-08-2016,3797890,1.56
22-08-2016,3804200,1.54
23-08-2016,3763860,1.49
24-08-2016,3641880,1.53
25-08-2016,3776630,1.51
26-08-2016,3749780,1.51
27-08-2016,3739710,1.48
28-08-2016,3679290,1.5
29-08-2016,3764200,1.48
30-08-2016,3750860,1.47
31-08-2016,3711980,1.43
01-09-2016,3607470,1.46
02-09-2016,3696240,1.45
03-09-2016,3644210,1.5
04-09-2016,3821160,1.52
05-09-2016,3889440,1.52
06-09-2016,3898130,1.5
07-09-2016,3863950,1.51
08-09-2016,3905160,1.53
09-09-2016,3951470,1.54
10-09-2016,3977580,1.53
11-09-2016,3983000,1.47
12-09-2016,3810660,1.44
13-09-2016,3780370,1.47
14-09-2016,3857330,1.47
15-09-2016,3873460,1.44
16-09-2016,3797060,1.45
17-09-2016,3836320,1.41
18-09-2016,3728900,1.3
19-09-2016,3429290,1.24
20-09-2016,3328660,1.31
21-09-2016,3513010,1.18
22-09-2016,3162100,1.2
23-09-2016,3251990,1.21
24-09-2016,3261830,1.22
25-09-2016,3318120,1.2
26-09-2016,3262830,1.14
27-09-2016,3158470,1.08
28-09-2016,2956620,1.05
29-09-2016,2887520,1.03
30-09-2016,2826060,0.977073
01-10-2016,2671470,1.01
02-10-2016,2803930,0.977
03-10-2016,2715130,1.07
04-10-2016,2982670,1.02
05-10-2016,2841730,1.08
06-10-2016,3034690,1.08
07-10-2016,3124430,1.09
08-10-2016,3060650,1.05
09-10-2016,2982680,1.03
10-10-2016,2918340,0.981122
11-10-2016,2809820,0.976486
12-10-2016,2728930,0.94824
13-10-2016,2704850,0.953763
14-10-2016,2735400,0.980952
15-10-2016,2792050,0.948144
16-10-2016,2734630,0.906924
17-10-2016,2622540,0.975003
18-10-2016,2917000,0.884849
19-10-2016,2573400,0.866963
20-10-2016,2527080,0.887821
21-10-2016,2594980,0.889927
22-10-2016,2607830,0.907106
23-10-2016,2666280,0.904782
24-10-2016,2665730,0.87786
25-10-2016,2592020,0.857861
26-10-2016,2541850,0.860811
27-10-2016,2540640,0.836105
28-10-2016,2490830,0.781814
29-10-2016,2350800,0.77073
30-10-2016,2272040,0.780302
31-10-2016,2341310,0.692514
01-11-2016,2083200,0.711819
02-11-2016,2146890,0.709144
03-11-2016,2135510,0.655677
04-11-2016,1987750,0.648302
05-11-2016,1969620,0.634668
06-11-2016,1933780,0.626592
07-11-2016,1913600,0.632151
08-11-2016,1936310,0.619449
09-11-2016,1901400,0.73386
10-11-2016,2278340,0.71359
11-11-2016,2202070,0.645018
12-11-2016,1995400,0.656818
13-11-2016,2018480,0.666323
14-11-2016,2071970,0.644311
15-11-2016,2009340,0.70997
16-11-2016,2142600,0.731985
17-11-2016,2320700,0.725155
18-11-2016,2273120,0.746159
19-11-2016,2314420,0.751169
20-11-2016,2354960,0.704841
21-11-2016,2228980,0.712357
22-11-2016,2257250,0.679494
23-11-2016,2112510,0.662553
24-11-2016,2110640,0.627662
25-11-2016,2011130,0.614373
26-11-2016,1941560,0.589909
27-11-2016,1891400,0.582951
28-11-2016,1874410,0.590771
29-11-2016,1903810,0.597028
30-11-2016,1928430,0.600124
01-12-2016,1945910,0.608297
02-12-2016,1962600,0.596727
03-12-2016,1941890,0.556226
04-12-2016,1891780,0.565116
05-12-2016,1848210,0.531496
06-12-2016,1740670,0.500039
07-12-2016,1642010,0.495941
08-12-2016,1621020,0.502577
09-12-2016,1669230,0.509712
10-12-2016,1725640,0.526182
11-12-2016,1713860,0.499099
12-12-2016,1658570,0.544758
13-12-2016,1813540,0.55954
14-12-2016,1843690,0.5382
15-12-2016,1800600,0.526895
16-12-2016,1765910,0.529184
17-12-2016,1778220,0.543848
18-12-2016,1831000,0.504716
19-12-2016,1697170,0.495368
20-12-2016,1674370,0.501676
21-12-2016,1684920,0.492777
22-12-2016,1665770,0.46202
23-12-2016,1572650,0.458266
24-12-2016,1552080,0.457831
25-12-2016,1566450,0.441004
26-12-2016,1511120,0.432389
27-12-2016,1486200,0.422478
28-12-2016,1451560,0.499496
29-12-2016,1723740,0.486243
30-12-2016,1681130,0.466823
31-12-2016,1617190,0.474424
01-01-2017,1680250,0.49
02-01-2017,1706590,0.472282
03-01-2017,1647480,0.461408
04-01-2017,1612730,0.656956
05-01-2017,2194980,0.551482
06-01-2017,1942000,0.548149
07-01-2017,1950040,0.672963
08-01-2017,2372740,0.823298
