Date,Marketcap(USD),Price(USD)
01-08-2016,24276800,0.000223
02-08-2016,23500600,0.000206
03-08-2016,22075900,0.000214
04-08-2016,22441100,0.000215
05-08-2016,22650500,0.000218
06-08-2016,23032600,0.000231
07-08-2016,24396200,0.000264
08-08-2016,27356500,0.000237
09-08-2016,24557700,0.000237
10-08-2016,25280700,0.000239
11-08-2016,25539400,0.000235
12-08-2016,25172100,0.000239
13-08-2016,25290800,0.000239
14-08-2016,25229000,0.000245
15-08-2016,26215500,0.000238
16-08-2016,25588100,0.000258
17-08-2016,27742800,0.000247
18-08-2016,26118200,0.000247
19-08-2016,26120200,0.000233
20-08-2016,24949200,0.000238
21-08-2016,25164200,0.000232
22-08-2016,24786100,0.000229
23-08-2016,24212000,0.000227
24-08-2016,24028800,0.000231
25-08-2016,24429700,0.000229
26-08-2016,24087000,0.000231
27-08-2016,24463300,0.000224
28-08-2016,23913900,0.000229
29-08-2016,24018800,0.000225
30-08-2016,23651600,0.000233
31-08-2016,24686500,0.000235
01-09-2016,24902600,0.000232
02-09-2016,24555600,0.000235
03-09-2016,24738100,0.000236
04-09-2016,25032000,0.000235
05-09-2016,24916700,0.000236
06-09-2016,25226800,0.000241
07-09-2016,25511200,0.000242
08-09-2016,25632500,0.000228
09-09-2016,24520700,0.00023
10-09-2016,24397300,0.000227
11-09-2016,24128600,0.000226
12-09-2016,23984100,0.000226
13-09-2016,23974200,0.000225
14-09-2016,24134600,0.000226
15-09-2016,24152800,0.000233
16-09-2016,24677200,0.00025
17-09-2016,26280700,0.000236
18-09-2016,25081400,0.00024
19-09-2016,25159700,0.000236
20-09-2016,24639800,0.000232
21-09-2016,24876400,0.000231
22-09-2016,24553200,0.000228
23-09-2016,24149000,0.000224
24-09-2016,24240600,0.000226
25-09-2016,24025200,0.000225
26-09-2016,23855500,0.000229
27-09-2016,24235000,0.000228
28-09-2016,24428500,0.000229
29-09-2016,24292700,0.000231
30-09-2016,24374500,0.000235
01-10-2016,24699500,0.000233
02-10-2016,24466700,0.00023
03-10-2016,24492400,0.000234
04-10-2016,25105300,0.000229
05-10-2016,24346000,0.000233
06-10-2016,24492900,0.000223
07-10-2016,23731500,0.000228
08-10-2016,24198600,0.000225
09-10-2016,24234500,0.000228
10-10-2016,24259200,0.000228
11-10-2016,24233700,0.00023
12-10-2016,24492900,0.000225
13-10-2016,23967100,0.000227
14-10-2016,24136400,0.000227
15-10-2016,23947700,0.000224
16-10-2016,23933400,0.000223
17-10-2016,23711200,0.000221
18-10-2016,23706100,0.000221
19-10-2016,23629600,0.000219
20-10-2016,23144000,0.000221
21-10-2016,23551500,0.000218
22-10-2016,23267900,0.000223
23-10-2016,23792300,0.000221
24-10-2016,23512000,0.000219
25-10-2016,23331800,0.000219
26-10-2016,23383300,0.000216
27-10-2016,23037000,0.000217
28-10-2016,23320100,0.000216
29-10-2016,23316500,0.000223
30-10-2016,23767900,0.000223
31-10-2016,23696200,0.00022
01-11-2016,23490600,0.000221
02-11-2016,23574500,0.00022
03-11-2016,23832300,0.000217
04-11-2016,23425500,0.000219
05-11-2016,23553900,0.000222
06-11-2016,23591300,0.000221
07-11-2016,23678600,0.000239
08-11-2016,25539800,0.000229
09-11-2016,24466700,0.000229
10-11-2016,24483800,0.000228
11-11-2016,24366300,0.000227
12-11-2016,24190900,0.00022
13-11-2016,23533800,0.000225
14-11-2016,24093500,0.000223
15-11-2016,23865500,0.000222
16-11-2016,23707400,0.000221
17-11-2016,23768900,0.000224
18-11-2016,23848400,0.000218
19-11-2016,23589000,0.00022
20-11-2016,23547400,0.000219
21-11-2016,23277800,0.000222
22-11-2016,23758700,0.000224
23-11-2016,23861100,0.000219
24-11-2016,23075200,0.000218
25-11-2016,23332700,0.00022
26-11-2016,23653600,0.000219
27-11-2016,23420800,0.000217
28-11-2016,23242600,0.000218
29-11-2016,23401700,0.000217
30-11-2016,23146000,0.000214
01-12-2016,22982300,0.000214
02-12-2016,22961000,0.000216
03-12-2016,23118000,0.000217
04-12-2016,23085100,0.000217
05-12-2016,23198100,0.000215
06-12-2016,23017400,0.000212
07-12-2016,22773100,0.000214
08-12-2016,22712500,0.000215
09-12-2016,23002100,0.000212
10-12-2016,22644700,0.000215
11-12-2016,22995700,0.000223
12-12-2016,24043300,0.000222
13-12-2016,23618600,0.000216
14-12-2016,23105600,0.000217
15-12-2016,23107200,0.000215
16-12-2016,23085900,0.000217
17-12-2016,23277700,0.000219
18-12-2016,23470700,0.000218
19-12-2016,23232400,0.000218
20-12-2016,23480100,0.000219
21-12-2016,23608500,0.000227
22-12-2016,24450800,0.000225
23-12-2016,24169100,0.000236
24-12-2016,25568700,0.000234
25-12-2016,25116200,0.00023
26-12-2016,24873000,0.000233
27-12-2016,24924000,0.000227
28-12-2016,24448700,0.000223
29-12-2016,23991800,0.000228
30-12-2016,25128400,0.000228
31-12-2016,24454500,0.000223
01-01-2017,24026000,0.000228
02-01-2017,24560200,0.000226
03-01-2017,24049700,0.000227
04-01-2017,24417800,0.000236
05-01-2017,25089500,0.000229
06-01-2017,24493200,0.00022
07-01-2017,23845200,0.000221
