Date,Marketcap(USD),Price(USD)
01-08-2016,981735000,10.94
02-08-2016,903978000,8.79
03-08-2016,733204000,10.29
04-08-2016,851992000,11.04
05-08-2016,910856000,10.93
06-08-2016,902752000,10.88
07-08-2016,898340000,10.91
08-08-2016,903184000,11.25
09-08-2016,933431000,12.24
10-08-2016,1012910000,12.14
11-08-2016,1005720000,11.69
12-08-2016,968865000,11.78
13-08-2016,975999000,11.57
14-08-2016,960855000,11.19
15-08-2016,929558000,11.22
16-08-2016,932162000,11.14
17-08-2016,924591000,10.75
18-08-2016,892903000,10.76
19-08-2016,893156000,10.75
20-08-2016,893814000,11.25
21-08-2016,936015000,11.18
22-08-2016,930708000,11.12
23-08-2016,927065000,11.03
24-08-2016,918039000,11.04
25-08-2016,918977000,11.36
26-08-2016,946092000,11.3
27-08-2016,941585000,11.15
28-08-2016,929690000,10.93
29-08-2016,910698000,10.98
30-08-2016,917474000,11.23
31-08-2016,938406000,11.67
01-09-2016,974844000,11.99
02-09-2016,999757000,12.11
03-09-2016,1012580000,11.76
04-09-2016,982952000,11.68
05-09-2016,977169000,11.72
06-09-2016,981303000,11.69
07-09-2016,979087000,11.55
08-09-2016,967010000,11.35
09-09-2016,956210000,11.65
10-09-2016,977515000,12.17
11-09-2016,1023640000,11.64
12-09-2016,976645000,11.89
13-09-2016,997638000,11.92
14-09-2016,999352000,11.92
15-09-2016,1002970000,11.94
16-09-2016,1004740000,12.56
17-09-2016,1055440000,12.7
18-09-2016,1066620000,12.43
19-09-2016,1045870000,13.19
20-09-2016,1111810000,14.43
21-09-2016,1214950000,13.77
22-09-2016,1150650000,13.25
23-09-2016,1112590000,13.33
24-09-2016,1122670000,12.88
25-09-2016,1083510000,13.1
26-09-2016,1110700000,12.82
27-09-2016,1085330000,13.1
28-09-2016,1106330000,13.27
29-09-2016,1121060000,13.07
30-09-2016,1104530000,13.22
01-10-2016,1115690000,13.17
02-10-2016,1114200000,13.2
03-10-2016,1116600000,13.45
04-10-2016,1137980000,13.28
05-10-2016,1124270000,13.04
06-10-2016,1102940000,12.85
07-10-2016,1088570000,12.67
08-10-2016,1073990000,12.22
09-10-2016,1035590000,12.05
10-10-2016,1022860000,11.76
11-10-2016,997949000,11.79
12-10-2016,1000220000,11.93
13-10-2016,1011190000,11.96
14-10-2016,1018390000,11.94
15-10-2016,1014280000,11.98
16-10-2016,1018540000,11.95
17-10-2016,1016710000,12.01
18-10-2016,1020530000,12.59
19-10-2016,1071710000,12.02
20-10-2016,1025620000,12.1
21-10-2016,1033140000,12.18
22-10-2016,1037850000,12.07
23-10-2016,1033970000,12.04
24-10-2016,1026400000,11.97
25-10-2016,1020850000,11.41
26-10-2016,971440000,11.53
27-10-2016,984361000,11.5
28-10-2016,979916000,11.09
29-10-2016,948271000,10.44
30-10-2016,891164000,11.18
31-10-2016,960008000,11
01-11-2016,937123000,10.77
02-11-2016,921691000,10.75
03-11-2016,924097000,10.8
04-11-2016,926129000,11.09
05-11-2016,950213000,11
06-11-2016,941729000,10.87
07-11-2016,934536000,10.81
08-11-2016,930345000,10.83
09-11-2016,928063000,10.66
10-11-2016,915940000,10.52
11-11-2016,902479000,10.29
12-11-2016,883780000,9.88
13-11-2016,849342000,10.1
14-11-2016,867755000,9.97
15-11-2016,857223000,10.22
16-11-2016,878610000,10.06
17-11-2016,865393000,9.99
18-11-2016,859571000,9.48
19-11-2016,816380000,9.66
20-11-2016,832050000,9.58
21-11-2016,825381000,9.62
22-11-2016,829616000,9.91
23-11-2016,855265000,9.84
24-11-2016,849229000,9.23
25-11-2016,796268000,9.4
26-11-2016,812795000,9.33
27-11-2016,804085000,9
28-11-2016,777311000,8.72
29-11-2016,754307000,8.17
30-11-2016,705040000,8.59
01-12-2016,743882000,8.45
02-12-2016,731520000,7.76
03-12-2016,672138000,7.92
04-12-2016,684258000,7.44
05-12-2016,641820000,6.82
06-12-2016,589548000,7.87
07-12-2016,684258000,8.38
08-12-2016,726878000,8.23
09-12-2016,708468000,8.45
10-12-2016,732173000,8.13
11-12-2016,705363000,8.19
12-12-2016,711348000,8.52
13-12-2016,740099000,8.42
14-12-2016,734382000,8.27
15-12-2016,715861000,7.83
16-12-2016,683399000,7.86
17-12-2016,683357000,7.88
18-12-2016,684028000,7.87
19-12-2016,685054000,7.64
20-12-2016,664772000,7.66
21-12-2016,667625000,7.91
22-12-2016,688380000,7.58
23-12-2016,660546000,7.17
24-12-2016,623759000,7.27
25-12-2016,633792000,7.18
26-12-2016,622439000,7.27
27-12-2016,635260000,7.17
28-12-2016,624359000,7.52
29-12-2016,658674000,8.28
30-12-2016,724528000,8.16
31-12-2016,712662000,7.97
01-01-2017,698149000,8.17
02-01-2017,714900000,8.38
03-01-2017,732988000,9.73
04-01-2017,850115000,11.25
05-01-2017,988599000,10.25
06-01-2017,901249000,10.25
07-01-2017,897636000,9.87
08-01-2017,865667000,10.29
09-01-2017,904682000,10.33
10-01-2017,909897000,10.55
11-01-2017,925320000,9.72
12-01-2017,853638000,9.86
13-01-2017,863241000,9.77
14-01-2017,859971000,9.65
15-01-2017,864037000,9.9
16-01-2017,869126000,9.64
17-01-2017,847981000,10.3
18-01-2017,906079000,10.23
19-01-2017,901484000,10.4
20-01-2017,914696000,10.6
21-01-2017,933405000,10.91
22-01-2017,961463000,10.7
23-01-2017,944159000,10.82
24-01-2017,946083000,10.63
25-01-2017,936769000,10.57
26-01-2017,932575000,10.59
27-01-2017,934404000,10.54
28-01-2017,930688000,10.56
29-01-2017,933087000,10.48
30-01-2017,927415000,10.57
31-01-2017,933975000,10.73
01-02-2017,949969000,10.73
02-02-2017,949793000,10.82
03-02-2017,956944000,11.11
04-02-2017,985277000,11.43
05-02-2017,1013400000,11.35
06-02-2017,1005930000,11.39
07-02-2017,1012620000,11.52
08-02-2017,1023170000,11.43
09-02-2017,1014280000,11.03
10-02-2017,979961000,11.28
11-02-2017,1002130000,11.35
12-02-2017,1008030000,11.4
13-02-2017,1011080000,11.27
14-02-2017,1002810000,13.03
15-02-2017,1159000000,12.92
16-02-2017,1148860000,12.9
17-02-2017,1147260000,12.68
18-02-2017,1130750000,12.81
19-02-2017,1140870000,12.76
20-02-2017,1136610000,12.43
21-02-2017,1099330000,12.67
22-02-2017,1130460000,12.6
23-02-2017,1122910000,13.12
24-02-2017,1171110000,13.07
25-02-2017,1165230000,13.55
26-02-2017,1206150000,14.52
27-02-2017,1294770000,15.4
28-02-2017,1379600000,15.82
01-03-2017,1415510000,17.35
02-03-2017,1550750000,19.03
03-03-2017,1702140000,19.46
04-03-2017,1745140000,18.62
05-03-2017,1655030000,19.3
06-03-2017,1725360000,19.61
07-03-2017,1752530000,18.89
08-03-2017,1690760000,16.65
09-03-2017,1490500000,17.75
10-03-2017,1589640000,19.33
11-03-2017,1736630000,21.47
12-03-2017,1924660000,23.44
13-03-2017,2108300000,28.59
14-03-2017,2563700000,28.65
15-03-2017,2571160000,35.06
16-03-2017,3174750000,46.35
17-03-2017,4125480000,46.83
18-03-2017,4211830000,34.16
19-03-2017,3193600000,44.74
20-03-2017,4031270000,43.39
21-03-2017,3913620000,43.15
22-03-2017,3880120000,42.34
23-03-2017,3831310000,43.68
24-03-2017,3929230000,53.11
25-03-2017,4825700000,51.25
26-03-2017,4574540000,50.52
27-03-2017,4624990000,49.67
28-03-2017,4482160000,50.77
29-03-2017,4561150000,53.13
30-03-2017,4793280000,52.21
31-03-2017,4671190000,50.04
01-04-2017,4517510000,50.7
02-04-2017,4582700000,48.75
03-04-2017,4411030000,44.36
04-04-2017,3969730000,44.64
05-04-2017,4037940000,45.3
06-04-2017,4089930000,43.24
07-04-2017,3878210000,42.16
08-04-2017,3783000000,44.31
09-04-2017,4009010000,43.27
10-04-2017,3919520000,43.44
11-04-2017,3941100000,43.41
12-04-2017,3938930000,46.29
13-04-2017,4198420000,50.22
14-04-2017,4531810000,47.57
15-04-2017,4323100000,49.1
16-04-2017,4450140000,48.72
17-04-2017,4417310000,48.3
18-04-2017,4387860000,50.71
19-04-2017,4608260000,48.31
20-04-2017,4373800000,49.67
21-04-2017,4512610000,48.22
22-04-2017,4381290000,48.55
23-04-2017,4420040000,48.49
24-04-2017,4446470000,50.03
25-04-2017,4557870000,49.89
26-04-2017,4544370000,52.72
27-04-2017,4809630000,62.17
