Date,Marketcap(USD),Price(USD)
01-08-2016,190585000,3.86
02-08-2016,181673000,3.64
03-08-2016,170828000,3.72
04-08-2016,174289000,3.75
05-08-2016,175755000,3.73
06-08-2016,174833000,3.76
07-08-2016,176649000,3.78
08-08-2016,177444000,3.79
09-08-2016,177889000,3.76
10-08-2016,176955000,3.72
11-08-2016,174921000,3.74
12-08-2016,175966000,3.71
13-08-2016,174620000,3.71
14-08-2016,175008000,3.65
15-08-2016,171883000,3.58
16-08-2016,168951000,3.64
17-08-2016,171832000,3.6
18-08-2016,169884000,3.61
19-08-2016,170319000,3.6
20-08-2016,170236000,3.62
21-08-2016,170829000,3.62
22-08-2016,170790000,3.66
23-08-2016,173066000,3.93
24-08-2016,185610000,3.86
25-08-2016,182248000,3.8
26-08-2016,179722000,3.83
27-08-2016,180864000,3.74
28-08-2016,176715000,3.74
29-08-2016,176842000,3.76
30-08-2016,178314000,3.8
31-08-2016,180189000,3.8
01-09-2016,179752000,3.83
02-09-2016,181757000,3.82
03-09-2016,181349000,3.89
04-09-2016,184540000,4.01
05-09-2016,190686000,3.98
06-09-2016,188974000,3.97
07-09-2016,189261000,3.97
08-09-2016,188381000,3.99
09-09-2016,189118000,3.97
10-09-2016,188630000,3.97
11-09-2016,188515000,3.86
12-09-2016,183908000,3.82
13-09-2016,182131000,3.82
14-09-2016,181565000,3.83
15-09-2016,182156000,3.81
16-09-2016,181512000,3.81
17-09-2016,180848000,3.81
18-09-2016,181377000,4.04
19-09-2016,192499000,3.83
20-09-2016,182404000,3.84
21-09-2016,184357000,3.84
22-09-2016,183805000,3.77
23-09-2016,179509000,3.81
24-09-2016,181929000,3.81
25-09-2016,181090000,3.81
26-09-2016,181334000,3.86
27-09-2016,184100000,3.85
28-09-2016,183854000,3.84
29-09-2016,183299000,3.85
30-09-2016,183655000,3.84
01-10-2016,183883000,3.85
02-10-2016,183871000,3.84
03-10-2016,184113000,3.84
04-10-2016,183632000,3.82
05-10-2016,183364000,3.84
06-10-2016,184097000,3.85
07-10-2016,183775000,3.86
08-10-2016,185048000,3.84
09-10-2016,184174000,3.82
10-10-2016,183200000,3.8
11-10-2016,182337000,3.82
12-10-2016,183178000,3.76
13-10-2016,179685000,3.91
14-10-2016,187679000,3.9
15-10-2016,187173000,3.87
16-10-2016,186368000,3.89
17-10-2016,186886000,3.91
18-10-2016,189918000,3.84
