Date,Marketcap(USD),Price(USD)
01-08-2016,22827700,1.7
02-08-2016,21299600,1.49
03-08-2016,18765200,1.57
04-08-2016,19787700,1.85
05-08-2016,23238600,1.79
06-08-2016,22548300,1.88
07-08-2016,23712300,1.9
08-08-2016,23901200,1.9
09-08-2016,23990400,2.05
10-08-2016,25834000,2.01
11-08-2016,25436700,1.98
12-08-2016,24956600,1.95
13-08-2016,24686400,1.98
14-08-2016,25091800,2.01
15-08-2016,25383800,2.18
16-08-2016,27615300,2.2
17-08-2016,27893300,2.24
18-08-2016,28372900,2.19
19-08-2016,27739300,2.3
20-08-2016,29221300,2.44
21-08-2016,30968100,2.54
22-08-2016,32141200,3.99
23-08-2016,51189700,4.72
24-08-2016,59342000,4.42
25-08-2016,56851200,4.15
26-08-2016,52650700,4.18
27-08-2016,54133400,5.3
28-08-2016,67611100,9.51
29-08-2016,119391000,8.5
30-08-2016,108444000,8.49
31-08-2016,108774000,8.58
01-09-2016,108975000,8
02-09-2016,102027000,10.21
03-09-2016,130422000,10.59
04-09-2016,142653000,13.39
05-09-2016,173999000,13.96
06-09-2016,177509000,12.46
07-09-2016,159649000,11.83
08-09-2016,152961000,12.74
09-09-2016,163301000,12.43
10-09-2016,158606000,12.23
11-09-2016,157714000,10.69
12-09-2016,137198000,10.03
13-09-2016,132131000,10.88
14-09-2016,141326000,10.51
15-09-2016,135811000,9.41
16-09-2016,122577000,8.91
17-09-2016,114672000,9.68
18-09-2016,125247000,9.45
19-09-2016,122199000,10.56
20-09-2016,136312000,11.15
21-09-2016,145554000,9.92
22-09-2016,129022000,10.16
23-09-2016,131137000,10.77
24-09-2016,139964000,10.63
25-09-2016,137720000,10.24
26-09-2016,133099000,9.4
27-09-2016,121546000,9.31
28-09-2016,121268000,9.4
29-09-2016,122202000,8.71
30-09-2016,112519000,8.41
01-10-2016,109642000,7.36
02-10-2016,95507100,8.3
03-10-2016,108330000,7.95
04-10-2016,103654000,7.65
05-10-2016,99903600,6.76
06-10-2016,87617200,7.18
07-10-2016,93848400,6.89
08-10-2016,90046400,6.88
09-10-2016,90201300,7.48
10-10-2016,98958700,6.94
11-10-2016,90612500,7.28
12-10-2016,95343700,7.31
13-10-2016,95353000,6.91
14-10-2016,90958000,6.92
15-10-2016,90768800,6.56
16-10-2016,86233800,6.38
17-10-2016,83992100,6.28
18-10-2016,82636300,6.57
19-10-2016,86328800,6.62
20-10-2016,87199300,6.56
21-10-2016,86682400,6.78
22-10-2016,89371800,6.52
23-10-2016,85978900,6.51
24-10-2016,85860100,6.42
25-10-2016,84707300,6.09
26-10-2016,80429200,6.17
27-10-2016,81425600,6.21
28-10-2016,82158200,5.73
29-10-2016,75631700,5.14
30-10-2016,68011700,5.57
31-10-2016,73317000,5.12
01-11-2016,67571600,4.71
02-11-2016,62649500,4.51
03-11-2016,60240900,4.89
04-11-2016,64488800,4.85
05-11-2016,64117100,5.02
06-11-2016,66184500,4.97
07-11-2016,65964200,5.74
08-11-2016,76635700,6.32
09-11-2016,83854100,6.19
10-11-2016,82319000,6.1
11-11-2016,81900600,6.78
12-11-2016,90900300,7.44
13-11-2016,98823800,7.1
14-11-2016,94853000,7.71
15-11-2016,103302000,7.3
16-11-2016,98031100,6.58
17-11-2016,87494100,6.79
18-11-2016,90440300,6.72
19-11-2016,89815300,6.55
20-11-2016,87683700,6.58
21-11-2016,88051400,6.8
22-11-2016,91147700,7.69
23-11-2016,102688000,7.91
24-11-2016,106374000,7.81
25-11-2016,104451000,7.54
26-11-2016,101260000,7.62
27-11-2016,102503000,7.93
28-11-2016,106354000,7.89
29-11-2016,106266000,7.6
30-11-2016,102540000,8.95
01-12-2016,120142000,8.58
02-12-2016,114407000,8.23
03-12-2016,110596000,8.27
04-12-2016,111297000,7.8
05-12-2016,105539000,7.91
06-12-2016,106599000,7.54
07-12-2016,101729000,7.89
08-12-2016,106218000,7.79
09-12-2016,105361000,7.95
10-12-2016,107380000,7.78
11-12-2016,105063000,7.91
12-12-2016,106974000,8.05
13-12-2016,109172000,8.11
14-12-2016,111468000,8.41
15-12-2016,114274000,8.42
16-12-2016,114291000,8.51
17-12-2016,115014000,8.32
18-12-2016,113063000,8.61
19-12-2016,116756000,8.63
20-12-2016,117248000,8.43
21-12-2016,114871000,8.28
22-12-2016,112882000,8.9
23-12-2016,120963000,9.55
24-12-2016,130752000,9.65
25-12-2016,131445000,9.73
26-12-2016,132352000,10.27
27-12-2016,139913000,12.69
28-12-2016,171000000,14.09
29-12-2016,192960000,13.13
30-12-2016,178684000,12.97
31-12-2016,177027000,13.78
01-01-2017,188431000,13.97
02-01-2017,192331000,16.05
03-01-2017,219693000,16.09
04-01-2017,220820000,18.53
05-01-2017,253879000,16.19
06-01-2017,221476000,14.03
07-01-2017,192770000,13.06
08-01-2017,178079000,13.47
09-01-2017,184874000,13.74
10-01-2017,187430000,13.39
11-01-2017,183143000,11.64
12-01-2017,158831000,11.85
13-01-2017,162603000,11.27
14-01-2017,155007000,11.09
15-01-2017,152277000,10.76
16-01-2017,148169000,10.64
17-01-2017,147101000,12.39
18-01-2017,171153000,12.05
19-01-2017,166091000,12.15
20-01-2017,167736000,11.91
21-01-2017,164256000,12.03
22-01-2017,165727000,12.18
23-01-2017,168236000,12.25
24-01-2017,169206000,11.81
25-01-2017,163221000,11.83
26-01-2017,163778000,11.98
27-01-2017,165604000,12.1
28-01-2017,167743000,12.85
29-01-2017,177874000,12.66
30-01-2017,175164000,12.71
31-01-2017,175986000,12.99
01-02-2017,179699000,13.27
02-02-2017,184201000,13.14
03-02-2017,182089000,12.86
04-02-2017,178965000,12.61
05-02-2017,175095000,12.8
06-02-2017,178164000,12.88
07-02-2017,179398000,12.65
08-02-2017,176193000,12.8
09-02-2017,178405000,12.12
10-02-2017,169520000,11.98
11-02-2017,166808000,12.24
12-02-2017,170839000,12.33
13-02-2017,171557000,12.2
14-02-2017,170135000,12.99
15-02-2017,181497000,13.62
16-02-2017,189926000,13.1
17-02-2017,182332000,13.3
18-02-2017,186995000,13.36
19-02-2017,186681000,12.99
20-02-2017,181531000,12.22
21-02-2017,169036000,12.34
22-02-2017,171785000,12.77
23-02-2017,178859000,12.87
24-02-2017,180492000,11.92
25-02-2017,167003000,11.85
26-02-2017,165867000,11.89
27-02-2017,166428000,11.96
28-02-2017,168185000,12.28
01-03-2017,172621000,12.33
02-03-2017,172124000,13.11
03-03-2017,183919000,13.91
04-03-2017,195774000,13.67
05-03-2017,192123000,15.18
