Date,Marketcap(USD),Price(USD)
01-08-2016,59935500,0.006295
02-08-2016,56505200,0.004997
03-08-2016,45354300,0.005146
04-08-2016,46362300,0.005288
05-08-2016,47682700,0.005282
06-08-2016,47550300,0.005326
07-08-2016,47930600,0.005018
08-08-2016,45039100,0.005006
09-08-2016,45057700,0.005501
10-08-2016,48959600,0.005549
11-08-2016,49947700,0.005666
12-08-2016,51100000,0.006686
13-08-2016,60806800,0.006562
14-08-2016,59133000,0.006493
15-08-2016,58406800,0.006351
16-08-2016,56531000,0.006193
17-08-2016,55927500,0.006254
18-08-2016,56279200,0.006414
19-08-2016,57736600,0.006836
20-08-2016,61519400,0.006537
21-08-2016,58457900,0.006325
22-08-2016,56980200,0.006214
23-08-2016,55667600,0.005559
24-08-2016,50575500,0.005764
25-08-2016,51825000,0.005867
26-08-2016,52973900,0.005858
27-08-2016,52722200,0.005711
28-08-2016,51394100,0.005945
29-08-2016,53338500,0.005828
30-08-2016,52675100,0.005867
31-08-2016,52810100,0.005698
01-09-2016,51288500,0.005569
02-09-2016,50281600,0.005618
03-09-2016,50250100,0.005725
04-09-2016,51550600,0.005647
05-09-2016,50830400,0.005724
06-09-2016,51523500,0.005703
07-09-2016,51331200,0.0057
08-09-2016,51297800,0.005664
09-09-2016,50966800,0.006211
10-09-2016,55030000,0.005874
11-09-2016,53082900,0.005716
12-09-2016,51432500,0.005736
13-09-2016,51640500,0.005876
14-09-2016,52607700,0.005695
15-09-2016,51249000,0.005674
16-09-2016,51053300,0.005499
17-09-2016,49493400,0.005274
18-09-2016,47579300,0.005174
19-09-2016,46391800,0.00516
20-09-2016,46437700,0.005127
21-09-2016,46901600,0.005415
22-09-2016,48745100,0.005299
23-09-2016,47672200,0.005251
24-09-2016,47255500,0.005167
25-09-2016,46503600,0.005066
26-09-2016,45941800,0.004988
27-09-2016,44884500,0.00467
28-09-2016,40925600,0.004617
29-09-2016,41577300,0.004006
30-09-2016,36431000,0.004366
01-10-2016,39365200,0.004386
02-10-2016,39926200,0.004311
03-10-2016,39089800,0.004285
04-10-2016,38566500,0.004256
05-10-2016,38300600,0.004336
06-10-2016,39145900,0.004399
07-10-2016,39583500,0.004019
08-10-2016,36259700,0.003955
09-10-2016,35577700,0.003877
10-10-2016,34893000,0.003546
11-10-2016,31924700,0.004547
12-10-2016,40909200,0.004045
13-10-2016,36401900,0.004128
14-10-2016,38012400,0.004275
15-10-2016,38477600,0.004003
16-10-2016,35906400,0.003988
17-10-2016,35897900,0.003814
18-10-2016,34329500,0.003875
19-10-2016,34877600,0.003803
20-10-2016,34226700,0.003738
21-10-2016,33721200,0.003705
22-10-2016,33341100,0.003745
23-10-2016,33724900,0.003751
24-10-2016,33767100,0.003879
25-10-2016,34907200,0.003908
26-10-2016,35179000,0.00381
27-10-2016,34285000,0.003936
28-10-2016,35437200,0.003743
29-10-2016,33694600,0.003496
30-10-2016,31457000,0.003712
31-10-2016,33461500,0.003629
01-11-2016,32655200,0.003828
02-11-2016,34460900,0.003749
03-11-2016,33792300,0.003664
04-11-2016,32988700,0.003722
05-11-2016,33495300,0.003885
06-11-2016,34962700,0.003706
07-11-2016,33345400,0.004125
08-11-2016,37239200,0.004125
09-11-2016,37122200,0.003923
10-11-2016,35306800,0.004159
11-11-2016,37547700,0.004867
12-11-2016,42747300,0.004773
13-11-2016,43211100,0.004647
14-11-2016,41318900,0.004256
15-11-2016,38338400,0.004192
16-11-2016,37720000,0.003992
17-11-2016,36039900,0.004021
18-11-2016,36180400,0.004008
19-11-2016,36066200,0.003993
20-11-2016,35941600,0.003943
21-11-2016,35739000,0.003937
22-11-2016,35490300,0.00376
23-11-2016,33837000,0.003707
24-11-2016,33335300,0.003606
25-11-2016,32443600,0.003592
26-11-2016,32326100,0.003668
27-11-2016,33243600,0.003671
28-11-2016,33041200,0.003747
29-11-2016,33727600,0.003754
30-11-2016,33781300,0.003717
01-12-2016,33453400,0.003646
02-12-2016,32719700,0.003505
03-12-2016,31548200,0.00345
04-12-2016,31048000,0.003563
05-12-2016,32087800,0.003311
06-12-2016,29798900,0.003207
