Date,Marketcap(USD),Price(USD)
01-08-2016,126953,0.003766
02-08-2016,155170,0.003371
03-08-2016,127212,0.004041
04-08-2016,166060,0.005048
05-08-2016,206451,0.00421
06-08-2016,172510,0.004023
07-08-2016,164302,0.003847
08-08-2016,158394,0.004335
18-08-2016,184856,0.003906
19-08-2016,168241,0.004331
20-08-2016,186797,0.003903
21-08-2016,168612,0.003903
22-08-2016,168718,0.003352
23-08-2016,145125,0.003464
24-08-2016,150186,0.003516
25-08-2016,152684,0.003062
26-08-2016,150763,0.003473
27-08-2016,151288,0.002936
28-08-2016,128031,0.00338
29-08-2016,147665,0.003341
30-08-2016,146175,0.003453
31-08-2016,151313,0.003196
01-09-2016,140279,0.003455
02-09-2016,151629,0.003475
03-09-2016,151523,0.003677
04-09-2016,161907,0.004205
05-09-2016,185359,0.00427
06-09-2016,188479,0.004261
07-09-2016,188343,0.004302
08-09-2016,190431,0.004147
09-09-2016,183808,0.004541
10-09-2016,201586,0.004471
11-09-2016,198758,0.004397
12-09-2016,195844,0.004682
13-09-2016,208831,0.00454
14-09-2016,202779,0.004507
15-09-2016,201533,0.003763
16-09-2016,168483,0.003702
17-09-2016,166042,0.004111
18-09-2016,161969,0.003706
19-09-2016,166642,0.003838
20-09-2016,172800,0.00377
21-09-2016,169737,0.003898
22-09-2016,175943,0.00382
23-09-2016,172546,0.003943
24-09-2016,178301,0.003754
25-09-2016,169999,0.00402
26-09-2016,182242,0.004031
27-09-2016,182960,0.004048
28-09-2016,184387,0.003641
29-09-2016,172839,0.003737
30-09-2016,170297,0.003695
01-10-2016,168589,0.003813
02-10-2016,174184,0.003996
03-10-2016,182746,0.003874
04-10-2016,177457,0.003838
05-10-2016,175852,0.003578
06-10-2016,164249,0.003688
07-10-2016,169523,0.003248
08-10-2016,149524,0.003281
09-10-2016,139587,0.002874
10-10-2016,132655,0.003711
11-10-2016,171499,0.003358
12-10-2016,155247,0.003245
13-10-2016,150314,0.003464
14-10-2016,160658,0.003847
15-10-2016,178645,0.003978
16-10-2016,184968,0.004143
17-10-2016,192907,0.003925
18-10-2016,182905,0.00391
19-10-2016,178879,0.003783
20-10-2016,176691,0.003761
21-10-2016,175800,0.00374
22-10-2016,175060,0.003633
23-10-2016,170339,0.003659
24-10-2016,171685,0.00359
25-10-2016,168517,0.003556
26-10-2016,167001,0.004727
27-10-2016,222422,0.00452
28-10-2016,213062,0.005633
29-10-2016,265748,0.005962
30-10-2016,281424,0.007004
31-10-2016,331058,0.00786
01-11-2016,371909,0.007882
02-11-2016,373487,0.008228
03-11-2016,391061,0.008955
04-11-2016,425313,0.008744
05-11-2016,415483,0.010511
06-11-2016,500047,0.013178
07-11-2016,627389,0.016044
08-11-2016,765208,0.01279
09-11-2016,610242,0.009236
10-11-2016,441356,0.010943
11-11-2016,523465,0.009091
12-11-2016,423258,0.011483
13-11-2016,550515,0.011633
14-11-2016,558175,0.00967
15-11-2016,464776,0.009719
16-11-2016,477595,0.0094
17-11-2016,452360,0.007327
18-11-2016,352472,0.007047
19-11-2016,339083,0.007667
20-11-2016,370194,0.006976
21-11-2016,337108,0.006907
22-11-2016,333941,0.00647
23-11-2016,313237,0.006621
24-11-2016,320825,0.00602
25-11-2016,291932,0.006342
26-11-2016,307893,0.005959
27-11-2016,289496,0.005345
28-11-2016,259975,0.004293
29-11-2016,209020,0.004278
30-11-2016,208076,0.004768
01-12-2016,232557,0.006346
02-12-2016,310192,0.006295
03-12-2016,307706,0.006267
04-12-2016,306508,0.006501
05-12-2016,318402,0.007516
06-12-2016,368293,0.006807
07-12-2016,333815,0.014426
08-12-2016,675810,0.007304
09-12-2016,459028,0.006344
10-12-2016,312078,0.006353
11-12-2016,315668,0.006668
12-12-2016,328646,0.00641
13-12-2016,316083,0.006694
14-12-2016,329988,0.006376
15-12-2016,315090,0.006601
16-12-2016,326340,0.006279
17-12-2016,310783,0.006343
18-12-2016,314207,0.007941
19-12-2016,393838,0.006541
20-12-2016,324284,0.007171
21-12-2016,355904,0.006676
22-12-2016,331724,0.006944
23-12-2016,345198,0.008016
24-12-2016,399180,0.007216
25-12-2016,359510,0.007353
26-12-2016,366330,0.007937
27-12-2016,396178,0.007862
28-12-2016,392730,0.007813
29-12-2016,390394,0.007548
30-12-2016,377340,0.007652
31-12-2016,382940,0.007325
01-01-2017,366829,0.007051
02-01-2017,353565,0.006451
03-01-2017,323515,0.007428
04-01-2017,372757,0.008083
05-01-2017,406423,0.007522
06-01-2017,379165,0.009016
07-01-2017,415686,0.007704
08-01-2017,387923,0.008311
09-01-2017,419341,0.009155
10-01-2017,461346,0.008585
11-01-2017,433245,0.011566
12-01-2017,583235,0.009083
13-01-2017,458762,0.013111
14-01-2017,664840,0.012306
15-01-2017,622614,0.013576
16-01-2017,687648,0.014082
17-01-2017,713993,0.012989
18-01-2017,659318,0.012297
19-01-2017,626743,0.012734
20-01-2017,646450,0.01115
21-01-2017,566622,0.010451
22-01-2017,531435,0.01131
23-01-2017,576204,0.011234
24-01-2017,565218,0.011505
25-01-2017,586062,0.013176
26-01-2017,671671,0.013797
27-01-2017,709730,0.014768
28-01-2017,751933,0.014052
29-01-2017,715442,0.014734
30-01-2017,750146,0.013334
31-01-2017,709389,0.01481
01-02-2017,763475,0.015034
02-02-2017,757318,0.013459
03-02-2017,667977,0.014957
04-02-2017,767825,0.013253
05-02-2017,680285,0.014766
06-02-2017,758272,0.014763
07-02-2017,760055,0.017182
08-02-2017,883961,0.017307
09-02-2017,891450,0.01685
10-02-2017,868238,0.01853
11-02-2017,954412,0.026742
12-02-2017,1376640,0.024644
13-02-2017,1270220,0.026304
14-02-2017,1358260,0.024586
15-02-2017,1215550,0.023599
16-02-2017,1209670,0.02364
17-02-2017,1217210,0.022661
18-02-2017,1167720,0.023073
19-02-2017,1190520,0.024121
20-02-2017,1208650,0.025621
21-02-2017,1312520,0.023892
22-02-2017,1229190,0.031542
23-02-2017,1632880,0.030384
24-02-2017,1581800,0.027369
25-02-2017,1454490,0.031842
26-02-2017,1653350,0.030712
27-02-2017,1593240,0.035549
28-02-2017,1848480,0.046711
01-03-2017,2428670,0.043094
02-03-2017,2245570,0.050241
03-03-2017,2614010,0.047725
04-03-2017,2489690,0.046912
05-03-2017,2442140,0.046274
06-03-2017,2412430,0.044781
07-03-2017,2335800,0.042215
08-03-2017,2201830,0.04175
09-03-2017,2200510,0.049077
10-03-2017,2564660,0.043891
11-03-2017,2292340,0.056493
12-03-2017,2923030,0.066329
13-03-2017,3479780,0.096176
14-03-2017,5030400,0.110101
15-03-2017,5762070,0.170252
16-03-2017,8889320,0.139302
17-03-2017,7249640,0.10279
18-03-2017,5763980,0.165387
19-03-2017,8241740,0.286548
20-03-2017,15060500,0.360835
21-03-2017,18855200,0.527395
22-03-2017,27461000,0.678389
23-03-2017,35762100,0.706544
24-03-2017,34518300,0.47303
25-03-2017,24932700,0.615858
26-03-2017,31745000,0.589681
27-03-2017,30951000,0.620125
28-03-2017,32438000,0.628593
29-03-2017,33038600,0.634372
30-03-2017,33237000,0.8291
31-03-2017,43713200,0.900375
01-04-2017,47423900,0.899967
02-04-2017,47553500,0.895967
03-04-2017,47164600,0.766313
04-04-2017,40618200,0.74764
05-04-2017,39664400,0.721758
06-04-2017,39217700,0.889613
07-04-2017,46836100,0.906082
08-04-2017,47404600,0.898411
09-04-2017,47436300,0.832668
10-04-2017,44007000,0.925446
11-04-2017,48891900,1.15
12-04-2017,60050700,1.51
13-04-2017,79935700,1.61
14-04-2017,85843700,1.62
15-04-2017,86546100,1.9
16-04-2017,101036000,2.01
17-04-2017,104841000,1.93
18-04-2017,102247000,1.92
19-04-2017,101974000,1.85
20-04-2017,97723100,1.72
21-04-2017,91442200,1.64
22-04-2017,88029900,1.57
23-04-2017,76739800,1.12
24-04-2017,58042000,1.31
25-04-2017,70585800,1.27
26-04-2017,66669800,1.21
27-04-2017,65001600,1.44
28-04-2017,77431200,1.4
29-04-2017,74728100,1.71
30-04-2017,91012000,1.69
01-05-2017,90482300,1.63
02-05-2017,86921500,1.71
03-05-2017,90546600,1.52
04-05-2017,80983000,1.52
05-05-2017,79703600,1.54
06-05-2017,81861500,1.56
07-05-2017,83973700,1.46
08-05-2017,76534800,1.37
09-05-2017,72194600,1.24
10-05-2017,65928100,1.12
11-05-2017,59582000,1.19
12-05-2017,63840700,1.22
13-05-2017,65135900,1.29
14-05-2017,69284000,1.22
15-05-2017,65109000,1.12
16-05-2017,59160700,1.05
17-05-2017,55722500,1.15
18-05-2017,61128000,1.16
19-05-2017,61682000,1.18
20-05-2017,63515300,1.13
21-05-2017,59833900,0.977864
22-05-2017,52451600,0.890556
23-05-2017,47438400,0.99146
24-05-2017,51951800,0.903705
25-05-2017,46472600,1.36
26-05-2017,71577700,1.19
27-05-2017,63711000,1.08
28-05-2017,58122300,1.34
29-05-2017,71800200,1.66
30-05-2017,90331600,1.71
31-05-2017,92717300,1.51
01-06-2017,81979300,1.68
02-06-2017,90284900,1.64
03-06-2017,88338700,1.64
04-06-2017,87404800,1.62
05-06-2017,87591400,1.55
06-06-2017,83020700,1.48
07-06-2017,79331300,1.53
08-06-2017,82708500,1.61
09-06-2017,86576600,1.63
10-06-2017,87353800,1.51
11-06-2017,80699400,1.68
12-06-2017,90002600,1.42
13-06-2017,75370600,1.52
14-06-2017,81564800,1.39
15-06-2017,74745700,1.43
16-06-2017,76836300,1.72
17-06-2017,92064300,1.65
18-06-2017,89146200,1.75
19-06-2017,93807500,1.78
20-06-2017,95662300,1.74
21-06-2017,93572300,1.66
22-06-2017,89122800,1.68
23-06-2017,90384900,1.89
24-06-2017,101826000,1.97
25-06-2017,105507000,1.8
26-06-2017,97110800,1.71
27-06-2017,91792000,1.84
28-06-2017,99334700,1.87
29-06-2017,100576000,1.87
30-06-2017,100511000,2.23
01-07-2017,119636000,2.15
02-07-2017,117176000,2.37
03-07-2017,128004000,2.42
04-07-2017,129909000,2.46
05-07-2017,131064000,2.67
06-07-2017,140364000,2.77
07-07-2017,148610000,2.52
08-07-2017,135424000,2.41
09-07-2017,129460000,2.25
10-07-2017,121443000,1.74
11-07-2017,94140400,1.7
12-07-2017,92613300,1.9
13-07-2017,101043000,1.85
14-07-2017,100097000,1.64
15-07-2017,88187700,1.49
16-07-2017,80652100,1.36
17-07-2017,73696500,1.66
18-07-2017,89429200,1.69
19-07-2017,91405700,1.83
20-07-2017,97073600,2.13
21-07-2017,115335000,2.06
22-07-2017,109979000,2.31
23-07-2017,124602000,2.2
24-07-2017,118367000,2.16
25-07-2017,116698000,1.88
26-07-2017,100864000,1.99
27-07-2017,107802000,2.22
28-07-2017,119215000,1.93
29-07-2017,103718000,1.96
30-07-2017,105804000,1.92
31-07-2017,103642000,1.9
01-08-2017,102948000,1.98
02-08-2017,107040000,1.96
